,text,target
0,"Nur-Sultan, is the capital city of Kazakhstan.",1
1,"Known between 1998 and 2019 as Astana and before that Akmola, it was renamed Nur-Sultan in March 2019, in honour of the departing Kazakh president, Nursultan Nazarbayev.",1
2,"The city lies on the banks of the Ishim River in the north-central part of Kazakhstan, within the Akmola Region, though administered as a city with special status separately from the rest of the region.",1
3,"A 2020 official estimate reported a population of 1,136,008 within the city limits, making it the second-largest city in the country, after Almaty, the previous capital, between 1991 and 1997.",1
4,"Akmola became the capital of Kazakhstan in 1997, since then it has grown and developed economically into one of the most modern cities in Central Asia.",1
5,"On 23 March 2019, following a unanimous vote in Kazakhstan's parliament, the city was renamed Nur-Sultan, after former Kazakhstan President Nursultan Nazarbayev.",1
6,"Modern Nur-Sultan is a planned city, following the process of other planned capitals.",1
7,"After it became the capital of Kazakhstan, the city dramatically changed its shape.",1
8,The city's master-plan was designed by Japanese architect Kisho Kurokawa.,1
9,"As the seat of the Government of Kazakhstan, Nur-Sultan is the site of the Parliament House, the Supreme Court, the Ak Orda Presidential Palace and numerous government departments and agencies.",1
10,"It is home to a range of futuristic buildings, including many skyscrapers",1
11,The settlement was founded in 1830 as Akmoly or Akmolinsky prikaz.,1
12,"This name was possibly given after a local landmarkвЂ”Akmola literally means ""white grave"" or ""holy city"" in KazakhвЂ”although this theory is not universally accepted.",1
13,"In 1832, it was granted town status and renamed Akmolinsk.",1
14,"During the Soviet era on 20 March 1961, it was renamed Tselinograd (Russian: Р¦РµР»РёРЅРѕРіСЂР°Рґ, lit.",1
15,'City of virgin lands') to mark its evolution as a cultural and administrative center of the Virgin Lands campaign.,1
16,"In 1992, after Kazakh independence Tselinograd adopted the presumed original name Akmola.",1
17,"On 10 December 1997, Akmola replaced Almaty as the capital of Kazakhstan.",1
18,"On 6 May 1998, it was renamed Astana, which means ""capital city"" in Kazakh.",1
19,"On 20 March 2019, the capital was renamed from Astana to its current name Nur-Sultan in honor of the long-ruling Kazakh President Nursultan Nazarbayev, shortly after his resignatio.",1
